SQL,CSharp,TypeScript,Angular
bigint,Int64,number,export type bigint = number;
binary,Byte[],Array<number>,export type binary = Array<number>;
bit,Boolean,boolean,export type bit = boolean;
char,String,string,export type char = string;
date 1,DateTime,Date,export type date 1 = Date;
datetime,DateTime,Date,export type datetime = Date;
datetime2,DateTime,Date,export type datetime2 = Date;
datetimeoffset,DateTimeOffset,Date,export type datetimeoffset = Date;
decimal,Decimal,number,export type decimal = number;
float,Double,number,export type float = number;
int,Int32,number,export type int = number;
nchar,String,string,export type nchar = string;
ntext,String,string,export type ntext = string;
numeric,Decimal,number,export type numeric = number;
nvarchar,String,string,export type nvarchar = string;
rowversion,Byte[],Array<string>,export type rowversion = Array<string>;
smalldatetime,DateTime,Date,export type smalldatetime = Date;
smallint,Int16,number,export type smallint = number;
text,String,string,export type text = string;
time,TimeSpan,Date,export type time = Date;
timestamp,Byte[],string,export type timestamp = string;
tinyint,Byte,number,export type tinyint = number;
uniqueidentifier,Guid,string,export type uniqueidentifier = string;
varbinary,Byte[],Array<number>,export type varbinary = Array<number>;
varchar,String,string,export type varchar = string;
varchar(7),string,"`${""x""}${string}` & { length: 7 }","export type varchar(7) = `${""x""}${string}` & { length: 7 };"
varchar(10),string,"`${""x""}${string}` & { length: 10 }","export type varchar(10) = `${""x""}${string}` & { length: 10 };"
